,input_file,sample,processed_sample,processed_sample_(scientific),status,matched_component
1,../data/Kuba/16.ann,2 minced,minced,minced,No Match,
0,../data/Kuba/6.ann,1 melted,melted,melted,No Match,
0,../data/Kuba/29.ann,1 melted,melted,melted,No Match,
1,../data/Kuba/29.ann,2 unsalted,unsalted,unsalted,No Match,
2,../data/Kuba/29.ann,3 chopped,chopped,chopped,No Match,
0,../data/Kuba/47.ann,1 crushed,crushed,crushed,No Match,
0,../data/Kuba/1.ann,1 refrigerated,refrigerated,refrigerated,No Match,
1,../data/Kuba/1.ann,2 melted,melted,melted,No Match,
2,../data/Kuba/1.ann,3 with icing,with icing,with icing,Component Match,'icing (food product):FOODON_03301932'
0,../data/Kuba/42.ann,1 softened,softened,softened,No Match,
0,../data/Kuba/18.ann,1 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
1,../data/Kuba/18.ann,2 peeled,peeled,peeled,Full Term Match,'food (peeled):FOODON_00002655'
2,../data/Kuba/18.ann,3 cubed,cubed,cubed,No Match,
3,../data/Kuba/18.ann,4 seeded,seeded,seeded,No Match,
4,../data/Kuba/18.ann,5 chopped,chopped,chopped,No Match,
0,../data/Kuba/48.ann,1 roasted,roasted,roasted,Full Term Match,'food (roasted):FOODON_00002744'
1,../data/Kuba/48.ann,2 unsalted,unsalted,unsalted,No Match,
2,../data/Kuba/48.ann,3 popped,popped,popped,No Match,
3,../data/Kuba/48.ann,4 remove unpopped kernels,remove unpopped kernel,remove unpopped kernel,No Match,
0,../data/Kuba/14.ann,1 drained,drained,drained,No Match,
1,../data/Kuba/14.ann,2 rinsed,rinsed,rinsed,No Match,
2,../data/Kuba/14.ann,3 ground,ground,ground,No Match,
0,../data/Kuba/31.ann,1 whipped,whipped,whipped,No Match,
0,../data/Kuba/10.ann,1 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
1,../data/Kuba/10.ann,2 cut into bite-sized chunks,cut into bite sized chunk,cut into bite sized chunk,Component Match,'cut:ENVO_00000474'
0,../data/Kuba/44.ann,1 melted,melted,melted,No Match,
0,../data/Kuba/35.ann,1 diced,diced,diced,No Match,
1,../data/Kuba/35.ann,2 undrained,undrained,undrained,No Match,
2,../data/Kuba/35.ann,3 frozen,frozen,frozen,Full Term Match,'frozen:PATO_0001985'
3,../data/Kuba/35.ann,4 cut,cut,cut,Full Term Match,'cut:ENVO_00000474'
4,../data/Kuba/35.ann,5 sliced into 1/2 inch pieces,sliced into inch piece,sliced into inch piece,Component Match,'food (sliced):FOODON_00002455'
4,../data/Kuba/35.ann,5 sliced into 1/2 inch pieces,sliced into inch piece,sliced into inch piece,Component Match, 'inch:UO_0010011'
5,../data/Kuba/35.ann,6 chopped,chopped,chopped,No Match,
0,../data/Kuba/26.ann,1 chopped,chopped,chopped,No Match,
1,../data/Kuba/26.ann,2 hard boiled,hard boiled,hard boiled,Component Match,'food (boiled):FOODON_00002688'
1,../data/Kuba/26.ann,2 hard boiled,hard boiled,hard boiled,Component Match, 'hard:PATO_0000386'
2,../data/Kuba/26.ann,3 chopped,chopped,chopped,No Match,
3,../data/Kuba/26.ann,4 cubed,cubed,cubed,No Match,
0,../data/Kuba/34.ann,1 unsweetened,unsweetened,unsweetened,No Match,
1,../data/Kuba/34.ann,2 sweetened,sweetened,sweetened,No Match,
0,../data/Kuba/37.ann,1 vine ripened,vine ripened,vine ripened,No Match,
1,../data/Kuba/37.ann,2 de-seeded,de seeded,de seeded,No Match,
2,../data/Kuba/37.ann,3 chopped,chopped,chopped,No Match,
3,../data/Kuba/37.ann,4 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
4,../data/Kuba/37.ann,5 pitted,pitted,pitted,No Match,
5,../data/Kuba/37.ann,6 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
6,../data/Kuba/37.ann,7 pitted,pitted,pitted,No Match,
0,../data/Kuba/25.ann,1 freeze-dried,freeze dried,freeze dried,Full Term Match,'food (freeze-dried):FOODON_03301752'
1,../data/Kuba/25.ann,2 slivered,slivered,slivered,No Match,
0,../data/Kuba/28.ann,1 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
0,../data/Kuba/22.ann,1 fully cooked,fully cooked,fully cooked,Component Match,'food (cooked):FOODON_00001181'
1,../data/Kuba/22.ann,2 spicy,spicy,spicy,No Match,
0,../data/Kuba/9.ann,1 freshly squeezed,freshly squeezed,freshly squeezed,No Match,
