,input_file,sample,processed_sample,processed_sample_(scientific),status,matched_component
0,../data/AL/39.ann,1 thinly sliced,thinly sliced,thinly sliced,Component Match,'food (sliced):FOODON_00002455'
1,../data/AL/39.ann,2 cored,cored,cored,No Match,
0,../data/AL/41.ann,1 melting,melting,melting,Full Term Match,'melting:ENVO_01000723'
0,../data/AL/17.ann,1 grated,grated,grated,No Match,
0,../data/AL/19.ann,1 drained,drained,drained,No Match,
1,../data/AL/19.ann,2 peeled,peeled,peeled,Full Term Match,'food (peeled):FOODON_00002655'
2,../data/AL/19.ann,3 crushed,crushed,crushed,No Match,
0,../data/AL/16.ann,1 minced,minced,minced,No Match,
1,../data/AL/16.ann,2 minced,minced,minced,No Match,
0,../data/AL/6.ann,1 melted,melted,melted,No Match,
0,../data/AL/29.ann,1 chopped,chopped,chopped,No Match,
1,../data/AL/29.ann,2 melted,melted,melted,No Match,
0,../data/AL/47.ann,1 crushed,crushed,crushed,No Match,
0,../data/AL/1.ann,1 refrigerated,refrigerated,refrigerated,No Match,
1,../data/AL/1.ann,2 melted,melted,melted,No Match,
0,../data/AL/18.ann,1 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
1,../data/AL/18.ann,2 peeled,peeled,peeled,Full Term Match,'food (peeled):FOODON_00002655'
2,../data/AL/18.ann,3 cubed,cubed,cubed,No Match,
3,../data/AL/18.ann,4 seeded,seeded,seeded,No Match,
4,../data/AL/18.ann,5 chopped,chopped,chopped,No Match,
0,../data/AL/48.ann,1 popped,popped,popped,No Match,
1,../data/AL/48.ann,2 container roasted,container roasted,container roasted,Component Match,'container:NCIT_C43186'
1,../data/AL/48.ann,2 container roasted,container roasted,container roasted,Component Match, 'food (roasted):FOODON_00002744'
0,../data/AL/14.ann,1 drained,drained,drained,No Match,
1,../data/AL/14.ann,2 rinsed,rinsed,rinsed,No Match,
2,../data/AL/14.ann,3 ground,ground,ground,No Match,
0,../data/AL/31.ann,1 whipped,whipped,whipped,No Match,
0,../data/AL/10.ann,1 cut,cut,cut,Full Term Match,'cut:ENVO_00000474'
1,../data/AL/10.ann,2 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
0,../data/AL/44.ann,1 melted,melted,melted,No Match,
1,../data/AL/44.ann,2 powdered,powdered,powdered,No Match,
0,../data/AL/4.ann,1 shredded,shredded,shredded,No Match,
0,../data/AL/35.ann,1 chopped,chopped,chopped,No Match,
1,../data/AL/35.ann,2 frozen,frozen,frozen,Full Term Match,'frozen:PATO_0001985'
2,../data/AL/35.ann,3 cut,cut,cut,Full Term Match,'cut:ENVO_00000474'
3,../data/AL/35.ann,4 diced,diced,diced,No Match,
4,../data/AL/35.ann,5 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
0,../data/AL/26.ann,1 cubed,cubed,cubed,No Match,
1,../data/AL/26.ann,2 hard boiled,hard boiled,hard boiled,Component Match,'food (boiled):FOODON_00002688'
1,../data/AL/26.ann,2 hard boiled,hard boiled,hard boiled,Component Match, 'hard:PATO_0000386'
2,../data/AL/26.ann,3 chopped,chopped,chopped,No Match,
3,../data/AL/26.ann,4 chopped,chopped,chopped,No Match,
0,../data/AL/34.ann,1 sweetened,sweetened,sweetened,No Match,
1,../data/AL/34.ann,2 condensed,condensed,condensed,No Match,
0,../data/AL/37.ann,1 de-seeded,de seeded,de seeded,No Match,
1,../data/AL/37.ann,2 chopped,chopped,chopped,No Match,
2,../data/AL/37.ann,3 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
3,../data/AL/37.ann,4 pitted,pitted,pitted,No Match,
4,../data/AL/37.ann,5 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
5,../data/AL/37.ann,6 pitted,pitted,pitted,No Match,
0,../data/AL/25.ann,1 freeze-dried,freeze dried,freeze dried,Full Term Match,'food (freeze-dried):FOODON_03301752'
1,../data/AL/25.ann,2 slivered,slivered,slivered,No Match,
2,../data/AL/25.ann,3 boiling,boiling,boiling,Full Term Match,'boiling:ENVO_01000623'
0,../data/AL/8.ann,1 whipped,whipped,whipped,No Match,
0,../data/AL/28.ann,1 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
0,../data/AL/22.ann,1 fully cooked,fully cooked,fully cooked,Component Match,'food (cooked):FOODON_00001181'
0,../data/AL/9.ann,1 cut in wedges,cut in wedge,cut in wedge,Component Match,'cut:ENVO_00000474'
1,../data/AL/9.ann,2 freshly squeezed,freshly squeezed,freshly squeezed,No Match,
