,input_file,sample,processed_sample,processed_sample_(scientific),status,matched_component
1,../data/Kuba/24.ann,2 full-fat greek yogurt,full fat greek yogurt,full fat greek yogurt,Component Match,'fat:FOODON_00003265'
1,../data/Kuba/24.ann,2 full-fat greek yogurt,full fat greek yogurt,full fat greek yogurt,Component Match, 'strained yogurt:FOODON_00003258'
2,../data/Kuba/24.ann,3 water,water,water,Full Term Match,'water:CHEBI_15377'
3,../data/Kuba/24.ann,4 sugar,sugar,sugar,Full Term Match,'sugar:FOODON_03420108'
4,../data/Kuba/24.ann,5 cardamom,cardamom,cardamom,Full Term Match,'cardamom seed (whole):FOODON_00003792'
5,../data/Kuba/24.ann,6 cream optional,cream optional,cream optional,Component Match,'cream food product:FOODON_00001216'
6,../data/Kuba/24.ann,7 nut optional,nut optional,nut optional,Component Match,'nut (whole):FOODON_03303171'
0,../data/Kuba/30.ann,1 banana,banana,banana {musa x paradisiaca},Full Term Match,'cavendish banana (whole
0,../data/Kuba/30.ann,1 banana,banana,banana {musa x paradisiaca},Full Term Match, ripe):FOODON_03311513'
1,../data/Kuba/30.ann,2 vanilla extract,vanilla extract,vanilla extract,Component Match,'vanilla:NCBITAXON_51238'
2,../data/Kuba/30.ann,3 condensed milk,condensed milk,condensed milk,Full Term Match,'cow milk (concentrated):FOODON_03301503'
3,../data/Kuba/30.ann,4 cinnamon,cinnamon,cinnamon {cinnamomum verum},Full Term Match,'cinnamon:FOODON_03301175'
0,../data/Kuba/20.ann,1 cheddar cheese,cheddar cheese,cheddar cheese,Full Term Match,'cheddar cheese:FOODON_03302458'
1,../data/Kuba/20.ann,2 egg,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
2,../data/Kuba/20.ann,3 bagel,bagel,bagel,Full Term Match,'bagel:FOODON_03309554'
3,../data/Kuba/20.ann,4 deli roast beef,deli roast beef,deli roast beef,Component Match,'roast beef:FOODON_00002734'
4,../data/Kuba/20.ann,5 lunch meat,lunch meat,lunch meat,Full Term Match,'luncheon meat:FOODON_03310675'
5,../data/Kuba/20.ann,6 deli ham,deli ham,deli ham,Component Match,'ham food product:FOODON_00002502'
0,../data/Kuba/43.ann,1 almonds,almond,almond {prunus dulcis},Full Term Match,'almond (whole
0,../data/Kuba/43.ann,1 almonds,almond,almond {prunus dulcis},Full Term Match, raw):FOODON_03301355'
1,../data/Kuba/43.ann,2 bacon,bacon,bacon,Full Term Match,'bacon food product:FOODON_00001061'
2,../data/Kuba/43.ann,3 cheddar cheese,cheddar cheese,cheddar cheese,Full Term Match,'cheddar cheese:FOODON_03302458'
3,../data/Kuba/43.ann,4 green onions,green onion,green onion {allium cepa},Full Term Match,'scallion (whole
3,../data/Kuba/43.ann,4 green onions,green onion,green onion {allium cepa},Full Term Match, raw):FOODON_03311340'
4,../data/Kuba/43.ann,5 mayonnaise,mayonnaise,mayonnaise,Full Term Match,'mayonnaise:FOODON_03301440'
0,../data/Kuba/3.ann,1 graham cracker,graham cracker,graham cracker,Component Match,'cracker:FOODON_00002711'
1,../data/Kuba/3.ann,2 candy bars,candy bar,candy bar,Full Term Match,'candy bar:FOODON_03306423'
2,../data/Kuba/3.ann,3 marshmallows,marshmallow,marshmallow {althaea officinalis},Full Term Match,'marshmallow:FOODON_03305639'
3,../data/Kuba/3.ann,4 milk chocolate,milk chocolate,milk chocolate,Full Term Match,'milk chocolate:FOODON_03302806'
4,../data/Kuba/3.ann,5 blueberries,blueberry,blueberry,Full Term Match,'blueberry (whole
4,../data/Kuba/3.ann,5 blueberries,blueberry,blueberry,Full Term Match, raw):FOODON_03302045'
5,../data/Kuba/3.ann,6 strawberry,strawberry,strawberry {fragaria x ananassa},Full Term Match,'strawberry (whole
5,../data/Kuba/3.ann,6 strawberry,strawberry,strawberry {fragaria x ananassa},Full Term Match, raw):FOODON_03301722'
0,../data/Kuba/7.ann,1 carrots,carrot,carrot {daucus carota},Full Term Match,'carrot root (whole
0,../data/Kuba/7.ann,1 carrots,carrot,carrot {daucus carota},Full Term Match, raw):FOODON_03301570'
1,../data/Kuba/7.ann,2 canning salt (optional),canning salt optional,canning salt optional,Component Match,'salt:CHEBI_24866'
2,../data/Kuba/7.ann,3 carrots,carrot,carrot {daucus carota},Full Term Match,'carrot root (whole
2,../data/Kuba/7.ann,3 carrots,carrot,carrot {daucus carota},Full Term Match, raw):FOODON_03301570'
3,../data/Kuba/7.ann,4 brown sugar,brown sugar,brown sugar,Full Term Match,'brown sugar:FOODON_03420156'
4,../data/Kuba/7.ann,5 brown sugar,brown sugar,brown sugar,Full Term Match,'brown sugar:FOODON_03420156'
5,../data/Kuba/7.ann,6 water,water,water,Full Term Match,'water:CHEBI_15377'
6,../data/Kuba/7.ann,7 orange juice,orange juice,orange juice,Full Term Match,'orange juice:FOODON_03301103'
0,../data/Kuba/15.ann,1 tater tots,tater tot,tater tot,Full Term Match,'tater tot:FOODON_03311863'
1,../data/Kuba/15.ann,2 hot dogs,hot dog,hot dog,Full Term Match,'hot dog:FOODON_00001009'
2,../data/Kuba/15.ann,3 beans,bean,bean,Full Term Match,'bean (whole):FOODON_00002753'
3,../data/Kuba/15.ann,4 horseradish mustard,horseradish mustard,horseradish mustard,Component Match,'horseradish:FOODON_03316284'
3,../data/Kuba/15.ann,4 horseradish mustard,horseradish mustard,horseradish mustard,Component Match, 'mustard food product:FOODON_00002053'
4,../data/Kuba/15.ann,5 mustard yellow,mustard yellow,mustard yellow,Component Match,'mustard food product:FOODON_00002053'
5,../data/Kuba/15.ann,6 cheddar cheese,cheddar cheese,cheddar cheese,Full Term Match,'cheddar cheese:FOODON_03302458'
6,../data/Kuba/15.ann,7 sweet potato,sweet potato,sweet potato {solanum tuberosum},Full Term Match,'sweet potato (whole):FOODON_00003445'
0,../data/Kuba/38.ann,1 balsamic vinegar,balsamic vinegar,balsamic vinegar,Component Match,'vinegar:FOODON_03301705'
1,../data/Kuba/38.ann,2 basil,basil,basil {ocimum basilicum},Full Term Match,'basil (whole or parts):FOODON_03000233'
2,../data/Kuba/38.ann,3 corn,corn,corn {zea mays subsp. mays},Full Term Match,'vegetable corn food product:FOODON_00001765'
3,../data/Kuba/38.ann,4 corn,corn,corn {zea mays subsp. mays},Full Term Match,'vegetable corn food product:FOODON_00001765'
4,../data/Kuba/38.ann,5 tomatoes,tomato,tomato {solanum lycopersicum},Full Term Match,'tomato (whole
4,../data/Kuba/38.ann,5 tomatoes,tomato,tomato {solanum lycopersicum},Full Term Match, raw):FOODON_03309927'
5,../data/Kuba/38.ann,6 cherry tomatoes,cherry tomato,cherry tomato {solanum lycopersicum},Full Term Match,'miniature tomato (whole):FOODON_00003773'
6,../data/Kuba/38.ann,7 extra virgin olive oil,extra virgin olive oil,extra virgin olive oil,Full Term Match,'olive oil (extra-virgin):FOODON_00002808'
0,../data/Kuba/49.ann,1 sugar,sugar,sugar,Full Term Match,'sugar:FOODON_03420108'
1,../data/Kuba/49.ann,2 white vinegar,white vinegar,white vinegar,Component Match,'vinegar:FOODON_03301705'
2,../data/Kuba/49.ann,3 salt,salt,salt,Full Term Match,'salt:CHEBI_24866'
3,../data/Kuba/49.ann,4 pepper,pepper,pepper,Full Term Match,'sweet yellow bell pepper (whole):FOODON_00003548'
4,../data/Kuba/49.ann,5 red cabbage,red cabbage,red cabbage,Full Term Match,'red cabbage head (raw):FOODON_03304685'
5,../data/Kuba/49.ann,6 apple,apple,apple {malus domestica},Full Term Match,'apple (whole):FOODON_00002473'
6,../data/Kuba/49.ann,7 onion,onion,onion {allium cepa},Full Term Match,'allium cepa:NCBITAXON_4679'
0,../data/Kuba/27.ann,1 pear,pear,pear {pyrus communis},Full Term Match,'pear (whole
0,../data/Kuba/27.ann,1 pear,pear,pear {pyrus communis},Full Term Match, raw):FOODON_03301724'
1,../data/Kuba/27.ann,2 chai tea,tea,tea,Full Term Match,'tea food product:FOODON_03315081'
2,../data/Kuba/27.ann,3 milk,milk,milk,Full Term Match,'milk:UBERON_0001913'
3,../data/Kuba/27.ann,4 honey,honey,honey,Full Term Match,'honey:UBERON_0036016'
4,../data/Kuba/27.ann,5 vanilla extract,vanilla extract,vanilla extract,Component Match,'vanilla:NCBITAXON_51238'
5,../data/Kuba/27.ann,6 cinnamon,cinnamon,cinnamon {cinnamomum verum},Full Term Match,'cinnamon:FOODON_03301175'
0,../data/Kuba/11.ann,1 tequila,tequila,tequila,Full Term Match,'tequila:FOODON_03304704'
1,../data/Kuba/11.ann,2 coffee,coffee,coffee,Full Term Match,'coffee (liquid drink):FOODON_03301036'
2,../data/Kuba/11.ann,3 Kahlua,kahlua,kahlua,No Match,
3,../data/Kuba/11.ann,4 cream,cream,cream,Full Term Match,'cream food product:FOODON_00001216'
0,../data/Kuba/5.ann,1 chicken thighs,chicken thigh,chicken {gallus gallus} thigh,Full Term Match,'chicken thigh:GENEPIO_0002752'
1,../data/Kuba/5.ann,2 onion,onion,onion {allium cepa},Full Term Match,'allium cepa:NCBITAXON_4679'
2,../data/Kuba/5.ann,3 Salsa,salsa,salsa,Full Term Match,'salsa:FOODON_03310086'
3,../data/Kuba/5.ann,4 curry powder,curry powder,curry powder,Full Term Match,'curry powder:FOODON_03301842'
4,../data/Kuba/5.ann,5 Sour Cream,sour cream,sour cream,Full Term Match,'sour cream:FOODON_03302515'
5,../data/Kuba/5.ann,6 Reduced Fat,reduced fat,reduced fat,Component Match,'fat:FOODON_00003265'
0,../data/Kuba/21.ann,1 sugar,sugar,sugar,Full Term Match,'sugar:FOODON_03420108'
1,../data/Kuba/21.ann,2 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
2,../data/Kuba/21.ann,3 vinegar,vinegar,vinegar,Full Term Match,'vinegar:FOODON_03301705'
3,../data/Kuba/21.ann,4 vanilla,vanilla,vanilla,Full Term Match,'vanilla:NCBITAXON_51238'
4,../data/Kuba/21.ann,5 all purpose flour,purpose flour,all purpose flour,Component Match,'flour food product:FOODON_00001056'
5,../data/Kuba/21.ann,6 baking soda,baking soda,baking soda,Full Term Match,'baking soda product:FOODON_00002385'
0,../data/Kuba/23.ann,1 mini marshmallows,mini marshmallow,mini marshmallow {althaea officinalis},Component Match,'marshmallow:FOODON_03305639'
1,../data/Kuba/23.ann,2 Kahlua,kahlua,kahlua,No Match,
2,../data/Kuba/23.ann,3 vanilla vodka,vanilla vodka,vanilla vodka,Component Match,'vanilla:NCBITAXON_51238'
2,../data/Kuba/23.ann,3 vanilla vodka,vanilla vodka,vanilla vodka,Component Match, 'vodka:FOODON_03305518'
3,../data/Kuba/23.ann,4 chocolate,chocolate,chocolate,Full Term Match,'chocolate:FOODON_03307240'
4,../data/Kuba/23.ann,5 creme de cacao,creme de cacao,creme de cacao,Component Match,'cacao food product:FOODON_00001215'
0,../data/Kuba/40.ann,1 orange,orange,orange,Full Term Match,'orange (whole
0,../data/Kuba/40.ann,1 orange,orange,orange,Full Term Match, raw):FOODON_03309832'
1,../data/Kuba/40.ann,2 black pepper,black pepper,black pepper,Full Term Match,'black pepper (whole or parts):FOODON_03000242'
2,../data/Kuba/40.ann,3 thyme,thyme,thyme {thymus vulgaris},Full Term Match,'thyme food product:FOODON_00002312'
3,../data/Kuba/40.ann,4 turkey,turkey,turkey {meleagris gallopavo},Full Term Match,'turkey (whole
3,../data/Kuba/40.ann,4 turkey,turkey,turkey {meleagris gallopavo},Full Term Match, raw):FOODON_00002805'
4,../data/Kuba/40.ann,5 brown sugar,brown sugar,brown sugar,Full Term Match,'brown sugar:FOODON_03420156'
5,../data/Kuba/40.ann,6 kosher salt,kosher salt,kosher salt,Component Match,'salt:CHEBI_24866'
0,../data/Kuba/13.ann,1 garbanzo beans,garbanzo bean,garbanzo {cicer arietinum} bean,Full Term Match,'10540 - chickpeas (without pods) (efsa foodex2):FOODON_03541054'
1,../data/Kuba/13.ann,2 salt,salt,salt,Full Term Match,'salt:CHEBI_24866'
2,../data/Kuba/13.ann,3 lemon juice,lemon juice,lemon juice,Full Term Match,'lemon juice:FOODON_03305428'
3,../data/Kuba/13.ann,4 red pepper,red pepper,red pepper,Full Term Match,'14050 - peppers
3,../data/Kuba/13.ann,4 red pepper,red pepper,red pepper,Full Term Match, dried (efsa foodex2):FOODON_03541405'
4,../data/Kuba/13.ann,5 garlic,garlic,garlic {allium sativum},Full Term Match,'garlic bulb (whole
4,../data/Kuba/13.ann,5 garlic,garlic,garlic {allium sativum},Full Term Match, raw):FOODON_03305208'
5,../data/Kuba/13.ann,6 cumin,cumin,cumin,Full Term Match,'cumin seed (whole):FOODON_00003396'
6,../data/Kuba/13.ann,7 extra virgin olive oil,extra virgin olive oil,extra virgin olive oil,Full Term Match,'olive oil (extra-virgin):FOODON_00002808'
0,../data/Kuba/39.ann,1 pineapple,pineapple,pineapple {ananas comosus},Full Term Match,'pineapple (whole
0,../data/Kuba/39.ann,1 pineapple,pineapple,pineapple {ananas comosus},Full Term Match, raw):FOODON_03301831'
1,../data/Kuba/39.ann,2 sandwich bread,sandwich bread,sandwich bread,Component Match,'bread and similar products (eurofir):FOODON_03400817'
1,../data/Kuba/39.ann,2 sandwich bread,sandwich bread,sandwich bread,Component Match, 'sandwich:FOODON_03301906'
2,../data/Kuba/39.ann,3 swiss cheese,swiss cheese,swiss cheese,Full Term Match,'swiss cheese:FOODON_03303659'
3,../data/Kuba/39.ann,4 ham,ham,ham,Full Term Match,'ham food product:FOODON_00002502'
4,../data/Kuba/39.ann,5 basil,basil,basil {ocimum basilicum},Full Term Match,'basil (whole or parts):FOODON_03000233'
5,../data/Kuba/39.ann,6 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
0,../data/Kuba/0.ann,1 rum,rum,rum,Full Term Match,'rum:FOODON_03301614'
1,../data/Kuba/0.ann,2 triple sec,triple sec,triple sec,Full Term Match,'triple sec:FOODON_00002551'
2,../data/Kuba/0.ann,3 Tia Maria,tia maria,tia {tacca leontopetaloides} maria,No Match,
3,../data/Kuba/0.ann,4 orange juice,orange juice,orange juice,Full Term Match,'orange juice:FOODON_03301103'
0,../data/Kuba/41.ann,1 cream cheese cake icing,cream cheese cake icing,cream cheese cake icing,Component Match,'cake icing food product:FOODON_00001279'
0,../data/Kuba/41.ann,1 cream cheese cake icing,cream cheese cake icing,cream cheese cake icing,Component Match, 'cream cheese:FOODON_03301889'
1,../data/Kuba/41.ann,2 chocolates (white melting),chocolate white melting,chocolate white melting,Component Match,'melting:ENVO_01000723'
1,../data/Kuba/41.ann,2 chocolates (white melting),chocolate white melting,chocolate white melting,Component Match, 'white chocolate:FOODON_03301329'
2,../data/Kuba/41.ann,3 candy sprinkles,candy sprinkle,candy sprinkle,Component Match,'candy:FOODON_03301051'
3,../data/Kuba/41.ann,4 cake mix,cake mixture,cake mixture,Component Match,'cake food product:FOODON_00001278'
3,../data/Kuba/41.ann,4 cake mix,cake mixture,cake mixture,Component Match, 'mixture:CHEBI_60004'
0,../data/Kuba/17.ann,1 flour,flour,flour,Full Term Match,'flour food product:FOODON_00001056'
1,../data/Kuba/17.ann,2 baking powder,baking powder,baking powder,Full Term Match,'baking powder:FOODON_03301940'
2,../data/Kuba/17.ann,3 salt,salt,salt,Full Term Match,'salt:CHEBI_24866'
3,../data/Kuba/17.ann,4 low-fat cheese,low fat cheese,low fat cheese,Component Match,'cheese fat:FOODON_03311032'
4,../data/Kuba/17.ann,5 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
5,../data/Kuba/17.ann,6 milk,milk,milk,Full Term Match,'milk:UBERON_0001913'
0,../data/Kuba/19.ann,1 chickpeas,chickpea,chickpea {cicer arietinum},Full Term Match,'chickpea (whole):FOODON_03306811'
1,../data/Kuba/19.ann,"2 lemon, juice of",lemon juice of,lemon juice of,Component Match,'lemon juice:FOODON_03305428'
2,../data/Kuba/19.ann,3 olive oil,olive oil,olive oil,Full Term Match,'olive oil:FOODON_03301826'
3,../data/Kuba/19.ann,4 garlic,garlic,garlic {allium sativum},Full Term Match,'garlic bulb (whole
3,../data/Kuba/19.ann,4 garlic,garlic,garlic {allium sativum},Full Term Match, raw):FOODON_03305208'
4,../data/Kuba/19.ann,5 red pepper flakes,red pepper flakes,red pepper flakes,Component Match,'14050 - peppers
4,../data/Kuba/19.ann,5 red pepper flakes,red pepper flakes,red pepper flakes,Component Match, dried (efsa foodex2):FOODON_03541405'
0,../data/Kuba/16.ann,1 salmon steaks,salmon steak,salmon steak,Component Match,'salmon:FOODON_00003473'
1,../data/Kuba/16.ann,2 parsley,parsley,parsley,Full Term Match,'parsley leaf (whole):FOODON_00002942'
2,../data/Kuba/16.ann,3 oregano,oregano,oregano {origanum vulgare},Full Term Match,'12710 - marjoram
2,../data/Kuba/16.ann,3 oregano,oregano,oregano {origanum vulgare},Full Term Match, dry (efsa foodex2):FOODON_03541271'
3,../data/Kuba/16.ann,4 limoncello,limoncello,limoncello,No Match,
4,../data/Kuba/16.ann,5 spring onion,spring onion,spring onion {allium cepa},Full Term Match,'welsh onion (whole):FOODON_00003172'
5,../data/Kuba/16.ann,6 lemon juice,lemon juice,lemon juice,Full Term Match,'lemon juice:FOODON_03305428'
6,../data/Kuba/16.ann,7 olive oil,olive oil,olive oil,Full Term Match,'olive oil:FOODON_03301826'
0,../data/Kuba/6.ann,1 baking potatoes,baking potato,baking potato {solanum tuberosum},Component Match,'potato (whole
0,../data/Kuba/6.ann,1 baking potatoes,baking potato,baking potato {solanum tuberosum},Component Match, raw):FOODON_03301449'
1,../data/Kuba/6.ann,2 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
2,../data/Kuba/6.ann,3 garlic salt,garlic salt,garlic {allium sativum} salt,Full Term Match,'garlic salt:FOODON_03307739'
3,../data/Kuba/6.ann,4 seasoning salt,seasoning salt,seasoning salt,Full Term Match,'seasoning salt:FOODON_03306222'
4,../data/Kuba/6.ann,5 pepper,pepper,pepper,Full Term Match,'sweet yellow bell pepper (whole):FOODON_00003548'
5,../data/Kuba/6.ann,6 sour cream (optional),sour cream optional,sour cream optional,Component Match,'sour cream:FOODON_03302515'
6,../data/Kuba/6.ann,7 chives optional,chive optional,chive {allium schoenoprasum} optional,Component Match,'chive leaf (whole
6,../data/Kuba/6.ann,7 chives optional,chive optional,chive {allium schoenoprasum} optional,Component Match, raw):FOODON_03311167'
0,../data/Kuba/29.ann,1 brown rice syrup,brown rice syrup,brown rice {oryza sativa} syrup,Component Match,'brown rice:FOODON_00003436'
0,../data/Kuba/29.ann,1 brown rice syrup,brown rice syrup,brown rice {oryza sativa} syrup,Component Match, 'rice syrup:FOODON_03307722'
1,../data/Kuba/29.ann,2 natural peanut butter,natural peanut butter,natural peanut {arachis hypogaea} butter,Component Match,'peanut butter:FOODON_03306867'
2,../data/Kuba/29.ann,3 peanuts,peanut,peanut {arachis hypogaea},Full Term Match,'peanut (whole):FOODON_00003206'
3,../data/Kuba/29.ann,4 seeds chia optional,seed chia optional,seed chia optional,Component Match,'chia seed food product:FOODON_03000179'
4,../data/Kuba/29.ann,5 rolled oats,rolled oat,rolled oat,Component Match,'whole oats (raw):FOODON_03309855'
0,../data/Kuba/47.ann,1 marshmallow,marshmallow,marshmallow {althaea officinalis},Full Term Match,'marshmallow:FOODON_03305639'
1,../data/Kuba/47.ann,2 chocolate cake mix,chocolate cake mixture,chocolate cake mixture,Component Match,'chocolate cake:FOODON_03305417'
1,../data/Kuba/47.ann,2 chocolate cake mix,chocolate cake mixture,chocolate cake mixture,Component Match, 'mixture:CHEBI_60004'
2,../data/Kuba/47.ann,3 oil,oil,oil,Full Term Match,'oil:FOODON_03310387'
3,../data/Kuba/47.ann,4 eggs,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
4,../data/Kuba/47.ann,5 graham cracker,graham cracker,graham cracker,Component Match,'cracker:FOODON_00002711'
0,../data/Kuba/50.ann,1 steak,steak,steak,No Match,
1,../data/Kuba/50.ann,2 lime,lime,lime,Full Term Match,'lime (whole
1,../data/Kuba/50.ann,2 lime,lime,lime,Full Term Match, raw):FOODON_03305086'
2,../data/Kuba/50.ann,3 steak seasoning (Canadian),steak seasoning canadian,steak seasoning canadian,Component Match,'canadian:ANCESTRO_0354'
2,../data/Kuba/50.ann,3 steak seasoning (Canadian),steak seasoning canadian,steak seasoning canadian,Component Match, 'seasoning:FOODON_03301189'
3,../data/Kuba/50.ann,4 olive oil,olive oil,olive oil,Full Term Match,'olive oil:FOODON_03301826'
0,../data/Kuba/1.ann,1 cinnamon roll,cinnamon roll,cinnamon {cinnamomum verum} roll,Full Term Match,'cinnamon roll:FOODON_03302318'
1,../data/Kuba/1.ann,2 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
2,../data/Kuba/1.ann,3 eggs,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
3,../data/Kuba/1.ann,4 milk,milk,milk,Full Term Match,'milk:UBERON_0001913'
4,../data/Kuba/1.ann,5 cinnamon,cinnamon,cinnamon {cinnamomum verum},Full Term Match,'cinnamon:FOODON_03301175'
5,../data/Kuba/1.ann,6 vanilla,vanilla,vanilla,Full Term Match,'vanilla:NCBITAXON_51238'
6,../data/Kuba/1.ann,7 maple syrup,maple syrup,maple syrup,Full Term Match,'maple syrup:FOODON_03301848'
0,../data/Kuba/33.ann,1 ice cubes,ice cube,ice cube,Component Match,'ice:ENVO_01001125'
1,../data/Kuba/33.ann,2 lemon juice,lemon juice,lemon juice,Full Term Match,'lemon juice:FOODON_03305428'
2,../data/Kuba/33.ann,3 mint leaves,mint leaves,mint leaves,Component Match,'mint (whole or parts):FOODON_03000237'
3,../data/Kuba/33.ann,4 watermelon,watermelon,watermelon,Full Term Match,'watermelon (whole
3,../data/Kuba/33.ann,4 watermelon,watermelon,watermelon,Full Term Match, raw):FOODON_03301040'
4,../data/Kuba/33.ann,5 sugar,sugar,sugar,Full Term Match,'sugar:FOODON_03420108'
0,../data/Kuba/42.ann,1 milk,milk,milk,Full Term Match,'lowfat cow milk (1% fat):FOODON_00002815'
1,../data/Kuba/42.ann,2 vanilla extract,vanilla extract,vanilla extract,Component Match,'vanilla:NCBITAXON_51238'
2,../data/Kuba/42.ann,3 eggs,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
3,../data/Kuba/42.ann,4 confectioners' sugar,confectioner sugar,confectioner sugar,Component Match,'sugar:FOODON_03420108'
4,../data/Kuba/42.ann,5 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
5,../data/Kuba/42.ann,6 baking powder,baking powder,baking powder,Full Term Match,'baking powder:FOODON_03301940'
6,../data/Kuba/42.ann,7 all purpose flour,purpose flour,all purpose flour,Component Match,'flour food product:FOODON_00001056'
0,../data/Kuba/18.ann,1 celery,celery,celery {apium graveolens dulce group},Full Term Match,'celery stalk (whole
0,../data/Kuba/18.ann,1 celery,celery,celery {apium graveolens dulce group},Full Term Match, raw):FOODON_03301727'
1,../data/Kuba/18.ann,2 cucumber,cucumber,cucumber,Full Term Match,'cucumber (whole
1,../data/Kuba/18.ann,2 cucumber,cucumber,cucumber,Full Term Match, raw):FOODON_03301545'
2,../data/Kuba/18.ann,3 coconut water,coconut water,coconut water,Component Match,'coconut (whole):FOODON_00003449'
2,../data/Kuba/18.ann,3 coconut water,coconut water,coconut water,Component Match, 'water:CHEBI_15377'
3,../data/Kuba/18.ann,4 jalapeño,jalapeño,jalapeño,No Match,
4,../data/Kuba/18.ann,5 himalayan sea salt,himalayan sea salt,himalayan sea salt,Component Match,'salt:CHEBI_24866'
4,../data/Kuba/18.ann,5 himalayan sea salt,himalayan sea salt,himalayan sea salt,Component Match, 'sea:ENVO_00000016'
0,../data/Kuba/12.ann,1 eggs,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
1,../data/Kuba/12.ann,2 sugar,sugar,sugar,Full Term Match,'sugar:FOODON_03420108'
2,../data/Kuba/12.ann,3 all purpose flour,purpose flour,all purpose flour,Component Match,'flour food product:FOODON_00001056'
3,../data/Kuba/12.ann,4 baking powder,baking powder,baking powder,Full Term Match,'baking powder:FOODON_03301940'
0,../data/Kuba/48.ann,1 popcorn,popcorn,popcorn,Full Term Match,'popcorn food product:FOODON_00003139'
1,../data/Kuba/48.ann,2 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
2,../data/Kuba/48.ann,3 vegetable oil,vegetable oil,vegetable oil,Full Term Match,'vegetable oil:FOODON_03305263'
3,../data/Kuba/48.ann,4 miniature marshmallows,miniature marshmallow,miniature marshmallow {althaea officinalis},Component Match,'marshmallow:FOODON_03305639'
4,../data/Kuba/48.ann,5 peanuts,peanut,peanut {arachis hypogaea},Full Term Match,'peanut (whole):FOODON_00003206'
