,input_file,sample,processed_sample,processed_sample_(scientific),status,matched_component
1,../data/AK/40.ann,2 zested,zested,zested,No Match,
0,../data/AK/13.ann,1 ground,ground,ground,No Match,
1,../data/AK/13.ann,2 minced,minced,minced,No Match,
2,../data/AK/13.ann,3 roasted,roasted,roasted,Full Term Match,'food (roasted):FOODON_00002744'
3,../data/AK/13.ann,4 drained,drained,drained,No Match,
4,../data/AK/13.ann,5 drained,drained,drained,No Match,
5,../data/AK/13.ann,6 rinsed,rinsed,rinsed,No Match,
0,../data/AK/39.ann,1 cored,cored,cored,No Match,
1,../data/AK/39.ann,2 thinly sliced,thinly sliced,thinly sliced,Component Match,'food (sliced):FOODON_00002455'
0,../data/AK/41.ann,1 prepared per package instructions,prepared per package instruction,prepared per package instruction,Component Match,'prepared seafood product:FOODON_00002471'
0,../data/AK/17.ann,1 grated,grated,grated,No Match,
0,../data/AK/19.ann,1 juice of,juice of,juice of,Component Match,'juice beverage:FOODON_03315552'
1,../data/AK/19.ann,2 drained,drained,drained,No Match,
2,../data/AK/19.ann,3 peeled,peeled,peeled,Full Term Match,'food (peeled):FOODON_00002655'
3,../data/AK/19.ann,4 crushed,crushed,crushed,No Match,
0,../data/AK/16.ann,1 minced,minced,minced,No Match,
1,../data/AK/16.ann,2 minced,minced,minced,No Match,
0,../data/AK/6.ann,1 melted,melted,melted,No Match,
0,../data/AK/29.ann,1 melted,melted,melted,No Match,
1,../data/AK/29.ann,2 chopped,chopped,chopped,No Match,
0,../data/AK/47.ann,1 crushed,crushed,crushed,No Match,
0,../data/AK/1.ann,1 melted,melted,melted,No Match,
1,../data/AK/1.ann,2 refrigerated,refrigerated,refrigerated,No Match,
0,../data/AK/42.ann,1 softened,softened,softened,No Match,
0,../data/AK/18.ann,1 seeded,seeded,seeded,No Match,
1,../data/AK/18.ann,2 chopped,chopped,chopped,No Match,
2,../data/AK/18.ann,3 cubed,cubed,cubed,No Match,
3,../data/AK/18.ann,4 peeled,peeled,peeled,Full Term Match,'food (peeled):FOODON_00002655'
4,../data/AK/18.ann,5 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
0,../data/AK/48.ann,1 popped,popped,popped,No Match,
1,../data/AK/48.ann,2 remove unpopped kernels,remove unpopped kernel,remove unpopped kernel,No Match,
0,../data/AK/14.ann,1 ground,ground,ground,No Match,
1,../data/AK/14.ann,2 drained,drained,drained,No Match,
2,../data/AK/14.ann,3 rinsed,rinsed,rinsed,No Match,
0,../data/AK/10.ann,1 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
1,../data/AK/10.ann,2 cut into bite-sized chunks,cut into bite sized chunk,cut into bite sized chunk,Component Match,'cut:ENVO_00000474'
0,../data/AK/44.ann,1 melted,melted,melted,No Match,
0,../data/AK/4.ann,1 shredded,shredded,shredded,No Match,
1,../data/AK/4.ann,2 prepared,prepared,prepared,Full Term Match,'prepared seafood product:FOODON_00002471'
0,../data/AK/35.ann,1 undrained,undrained,undrained,No Match,
1,../data/AK/35.ann,2 diced,diced,diced,No Match,
2,../data/AK/35.ann,3 chopped,chopped,chopped,No Match,
3,../data/AK/35.ann,4 cut,cut,cut,Full Term Match,'cut:ENVO_00000474'
4,../data/AK/35.ann,5 frozen,frozen,frozen,Full Term Match,'frozen:PATO_0001985'
5,../data/AK/35.ann,6 sliced into 1/2 inch pieces,sliced into inch piece,sliced into inch piece,Component Match,'food (sliced):FOODON_00002455'
5,../data/AK/35.ann,6 sliced into 1/2 inch pieces,sliced into inch piece,sliced into inch piece,Component Match, 'inch:UO_0010011'
0,../data/AK/26.ann,1 chopped,chopped,chopped,No Match,
1,../data/AK/26.ann,2 hard boiled,hard boiled,hard boiled,Component Match,'food (boiled):FOODON_00002688'
1,../data/AK/26.ann,2 hard boiled,hard boiled,hard boiled,Component Match, 'hard:PATO_0000386'
2,../data/AK/26.ann,3 chopped,chopped,chopped,No Match,
3,../data/AK/26.ann,4 cubed,cubed,cubed,No Match,
0,../data/AK/37.ann,1 de-seeded,de seeded,de seeded,No Match,
1,../data/AK/37.ann,2 chopped,chopped,chopped,No Match,
2,../data/AK/37.ann,3 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
3,../data/AK/37.ann,4 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
0,../data/AK/25.ann,1 boiling,boiling,boiling,Full Term Match,'boiling:ENVO_01000623'
1,../data/AK/25.ann,2 freeze-dried,freeze dried,freeze dried,Full Term Match,'food (freeze-dried):FOODON_03301752'
2,../data/AK/25.ann,3 slivered,slivered,slivered,No Match,
0,../data/AK/28.ann,1 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
0,../data/AK/22.ann,1 fully cooked,fully cooked,fully cooked,Component Match,'food (cooked):FOODON_00001181'
0,../data/AK/9.ann,1 cut in wedges,cut in wedge,cut in wedge,Component Match,'cut:ENVO_00000474'
1,../data/AK/9.ann,2 freshly squeezed,freshly squeezed,freshly squeezed,No Match,
